odb_file,param_group,realization,borehole,borehole_id,target_x,target_y,node_z,calculated_head
Job_P001_R10.odb,1,10,zk134,BH17,312.24,229.995,489.426,448.0568
Job_P001_R10.odb,1,10,zk108,BH18,329.522,202.805,491.454,459.1015
Job_P001_R10.odb,1,10,zk133,BH19,245.013,207.144,486.842,440.0667
Job_P001_R10.odb,1,10,zk132,BH20,180.314,185.837,481.201,444.5016
Job_P001_R10.odb,1,10,zk109,BH21,166.718,120.398,482.295,444.837
Job_P001_R10.odb,1,10,zk131,BH22,112.697,155.798,472.818,444.9068
Job_P001_R10.odb,1,10,zk110,BH23,63.104,220.681,460.829,431.2162
Job_P001_R11.odb,1,11,zk101,BH01,-107.247,837.298,460.635,451.7684
Job_P001_R11.odb,1,11,zk120,BH02,-79.056,786.162,460.024,434.7263
Job_P001_R11.odb,1,11,zk102,BH03,-1.701,784.3,474.041,446.4096
Job_P001_R11.odb,1,11,zk141,BH04,42.002,755.685,478.786,450.0849
Job_P001_R11.odb,1,11,zk103,BH05,97.323,727.843,485.133,449.7312
Job_P001_R11.odb,1,11,zk140,BH06,103.815,241.402,466.707,452.9586
Job_P001_R11.odb,1,11,zk139,BH07,189.974,727.986,498.776,465.7036
Job_P001_R11.odb,1,11,zk138,BH08,234.402,695.424,499.305,450.5516
Job_P001_R11.odb,1,11,zk104,BH09,286.261,668.745,499.627,450.4438
Job_P001_R11.odb,1,11,zk137,BH10,328.931,675.79,502.079,475.9608
Job_P001_R11.odb,1,11,zk105,BH11,483.884,586.18,487.554,508.7529
Job_P001_R11.odb,1,11,zk410,BH12,416.455,437.474,482.247,505.4224
Job_P001_R11.odb,1,11,zk106,BH13,552.478,475.648,474.773,499.8536
Job_P001_R11.odb,1,11,zk136,BH14,393.028,343.22,484.06,463.0147
Job_P001_R11.odb,1,11,zk107,BH15,446.731,266.563,485.742,469.6484
Job_P001_R11.odb,1,11,zk135,BH16,354.713,291.468,486.725,437.9249
Job_P001_R11.odb,1,11,zk134,BH17,312.24,229.995,489.426,446.4341
Job_P001_R11.odb,1,11,zk108,BH18,329.522,202.805,491.454,457.5199
Job_P001_R11.odb,1,11,zk133,BH19,245.013,207.144,486.842,440.0329
Job_P001_R11.odb,1,11,zk132,BH20,180.314,185.837,481.201,445.5839
Job_P001_R11.odb,1,11,zk109,BH21,166.718,120.398,482.295,446.3341
Job_P001_R11.odb,1,11,zk131,BH22,112.697,155.798,472.818,446.8173
Job_P001_R11.odb,1,11,zk110,BH23,63.104,220.681,460.829,432.0932
Job_P001_R12.odb,1,12,zk101,BH01,-107.247,837.298,460.635,452.0027
Job_P001_R12.odb,1,12,zk120,BH02,-79.056,786.162,460.024,434.3342
Job_P001_R12.odb,1,12,zk102,BH03,-1.701,784.3,474.041,444.8254
Job_P001_R12.odb,1,12,zk141,BH04,42.002,755.685,478.786,447.6472
Job_P001_R12.odb,1,12,zk103,BH05,97.323,727.843,485.133,446.5632
Job_P001_R12.odb,1,12,zk140,BH06,103.815,241.402,466.707,451.3638
Job_P001_R12.odb,1,12,zk139,BH07,189.974,727.986,498.776,463.9015
Job_P001_R12.odb,1,12,zk138,BH08,234.402,695.424,499.305,449.0517
Job_P001_R12.odb,1,12,zk104,BH09,286.261,668.745,499.627,450.2151
Job_P001_R12.odb,1,12,zk137,BH10,328.931,675.79,502.079,476.3942
Job_P001_R12.odb,1,12,zk105,BH11,483.884,586.18,487.554,511.0061
Job_P001_R12.odb,1,12,zk410,BH12,416.455,437.474,482.247,507.7851
Job_P001_R12.odb,1,12,zk106,BH13,552.478,475.648,474.773,500.6413
Job_P001_R12.odb,1,12,zk136,BH14,393.028,343.22,484.06,465.8596
Job_P001_R12.odb,1,12,zk107,BH15,446.731,266.563,485.742,472.2824
Job_P001_R12.odb,1,12,zk135,BH16,354.713,291.468,486.725,439.9226
Job_P001_R12.odb,1,12,zk134,BH17,312.24,229.995,489.426,447.6108
Job_P001_R12.odb,1,12,zk108,BH18,329.522,202.805,491.454,458.5605
Job_P001_R12.odb,1,12,zk133,BH19,245.013,207.144,486.842,439.8225
Job_P001_R12.odb,1,12,zk132,BH20,180.314,185.837,481.201,444.5191
Job_P001_R12.odb,1,12,zk109,BH21,166.718,120.398,482.295,445.4363
Job_P001_R12.odb,1,12,zk131,BH22,112.697,155.798,472.818,444.8839
Job_P001_R12.odb,1,12,zk110,BH23,63.104,220.681,460.829,430.3589
Job_P001_R13.odb,1,13,zk101,BH01,-107.247,837.298,460.635,451.964
Job_P001_R13.odb,1,13,zk120,BH02,-79.056,786.162,460.024,433.9393
Job_P001_R13.odb,1,13,zk102,BH03,-1.701,784.3,474.041,444.654
Job_P001_R13.odb,1,13,zk141,BH04,42.002,755.685,478.786,447.4395
Job_P001_R13.odb,1,13,zk103,BH05,97.323,727.843,485.133,447.039
Job_P001_R13.odb,1,13,zk140,BH06,103.815,241.402,466.707,450.8902
Job_P001_R13.odb,1,13,zk139,BH07,189.974,727.986,498.776,464.1078
Job_P001_R13.odb,1,13,zk138,BH08,234.402,695.424,499.305,449.2709
Job_P001_R13.odb,1,13,zk104,BH09,286.261,668.745,499.627,450.7024
Job_P001_R13.odb,1,13,zk137,BH10,328.931,675.79,502.079,477.0682
Job_P001_R13.odb,1,13,zk105,BH11,483.884,586.18,487.554,511.1927
Job_P001_R13.odb,1,13,zk410,BH12,416.455,437.474,482.247,507.5445
Job_P001_R13.odb,1,13,zk106,BH13,552.478,475.648,474.773,500.9018
Job_P001_R13.odb,1,13,zk136,BH14,393.028,343.22,484.06,465.8694
Job_P001_R13.odb,1,13,zk107,BH15,446.731,266.563,485.742,472.1031
Job_P001_R13.odb,1,13,zk135,BH16,354.713,291.468,486.725,439.7853
Job_P001_R13.odb,1,13,zk134,BH17,312.24,229.995,489.426,447.1416
Job_P001_R13.odb,1,13,zk108,BH18,329.522,202.805,491.454,458.9327
Job_P001_R13.odb,1,13,zk133,BH19,245.013,207.144,486.842,439.4238
Job_P001_R13.odb,1,13,zk132,BH20,180.314,185.837,481.201,444.0361
Job_P001_R13.odb,1,13,zk109,BH21,166.718,120.398,482.295,445.2739
Job_P001_R13.odb,1,13,zk131,BH22,112.697,155.798,472.818,444.6528
Job_P001_R13.odb,1,13,zk110,BH23,63.104,220.681,460.829,429.7497
Job_P001_R14.odb,1,14,zk101,BH01,-107.247,837.298,460.635,451.0668
Job_P001_R14.odb,1,14,zk120,BH02,-79.056,786.162,460.024,433.5591
Job_P001_R14.odb,1,14,zk102,BH03,-1.701,784.3,474.041,444.0223
Job_P001_R14.odb,1,14,zk141,BH04,42.002,755.685,478.786,447.8709
Job_P001_R14.odb,1,14,zk103,BH05,97.323,727.843,485.133,447.1047
Job_P001_R14.odb,1,14,zk140,BH06,103.815,241.402,466.707,450.8476
Job_P001_R14.odb,1,14,zk139,BH07,189.974,727.986,498.776,464.483
Job_P001_R14.odb,1,14,zk138,BH08,234.402,695.424,499.305,449.5993
Job_P001_R14.odb,1,14,zk104,BH09,286.261,668.745,499.627,451.3234
Job_P001_R14.odb,1,14,zk137,BH10,328.931,675.79,502.079,476.8211
Job_P001_R14.odb,1,14,zk105,BH11,483.884,586.18,487.554,510.4704
Job_P001_R14.odb,1,14,zk410,BH12,416.455,437.474,482.247,507.9177
Job_P001_R14.odb,1,14,zk106,BH13,552.478,475.648,474.773,500.2988
Job_P001_R14.odb,1,14,zk136,BH14,393.028,343.22,484.06,465.7619
Job_P001_R14.odb,1,14,zk107,BH15,446.731,266.563,485.742,471.8638
Job_P001_R14.odb,1,14,zk135,BH16,354.713,291.468,486.725,439.712
Job_P001_R14.odb,1,14,zk134,BH17,312.24,229.995,489.426,447.8893
Job_P001_R14.odb,1,14,zk108,BH18,329.522,202.805,491.454,459.2013
Job_P001_R14.odb,1,14,zk133,BH19,245.013,207.144,486.842,439.8508
Job_P001_R14.odb,1,14,zk132,BH20,180.314,185.837,481.201,444.4431
Job_P001_R14.odb,1,14,zk109,BH21,166.718,120.398,482.295,445.0767
Job_P001_R14.odb,1,14,zk131,BH22,112.697,155.798,472.818,444.8569
Job_P001_R14.odb,1,14,zk110,BH23,63.104,220.681,460.829,430.3539
Job_P001_R15.odb,1,15,zk101,BH01,-107.247,837.298,460.635,452.8802
Job_P001_R15.odb,1,15,zk120,BH02,-79.056,786.162,460.024,435.5686
Job_P001_R15.odb,1,15,zk102,BH03,-1.701,784.3,474.041,446.2701
Job_P001_R15.odb,1,15,zk141,BH04,42.002,755.685,478.786,449.1665
Job_P001_R15.odb,1,15,zk103,BH05,97.323,727.843,485.133,448.0232
Job_P001_R15.odb,1,15,zk140,BH06,103.815,241.402,466.707,451.6598
Job_P001_R15.odb,1,15,zk139,BH07,189.974,727.986,498.776,465.334
Job_P001_R15.odb,1,15,zk138,BH08,234.402,695.424,499.305,449.8988
Job_P001_R15.odb,1,15,zk104,BH09,286.261,668.745,499.627,450.6257
Job_P001_R15.odb,1,15,zk137,BH10,328.931,675.79,502.079,476.997
Job_P001_R15.odb,1,15,zk105,BH11,483.884,586.18,487.554,511.4553
Job_P001_R15.odb,1,15,zk410,BH12,416.455,437.474,482.247,506.0448
Job_P001_R15.odb,1,15,zk106,BH13,552.478,475.648,474.773,499.4374
Job_P001_R15.odb,1,15,zk136,BH14,393.028,343.22,484.06,464.1954
